Age,Gender,City,Monthly_Household_Income_AED,Occupation,Health_Consciousness,Fitness_Activities,Servings_per_Week,Motivations,Purchase_Channels,Preferred_Pack_Size,Packaging_Type,Flavor_Preferences,Eco_Friendly_Packaging_Score,Price_Discount_Influence,Willingness_Score,Max_Price_WTP_500ml_AED,Monthly_Spend_AED,Subscription_Plan,Value_Add_Ranking,Brand_Descriptors,Recommended_Brand,Key_Problem,Delivery_Tolerance_Score,Additional_Suggestions
18,Male,Dubai,11200.0,Student,4,"None,Gym",9,"Convenience,Immunity","Supermarket,Brand website,Pharmacy",250 ml,Tetra Pak,Coffee,2,5,5,10.4,107.25,Maybe,"1-Bundle deals,2-Free delivery,3-Personalized nutrition tips,4-Loyalty points","Innovative,Sustainable,Fun",Yes,Unclear nutritional info,3,Lower the sugar content
44,Female,Dubai,5700.0,Self-employed,1,"Gym,Running,Team sports",0,Weight control,"Pharmacy,Brand website",500 ml,Recyclable can,Coffee,1,2,6,10.48,0.0,Maybe,"1-Personalized nutrition tips,2-Loyalty points,3-Bundle deals,4-Free delivery","Sustainable,Affordable",Yes,Unclear nutritional info,5,Use recyclable packaging
30,Male,Abu Dhabi,13100.0,Student,3,"Team sports,Running",1,"Convenience,Muscle recovery",Pharmacy,1 L,Powder pouch,"Vanilla,Tropical",5,2,5,12.15,12.9,Maybe,"1-Loyalty points,2-Bundle deals,3-Free delivery,4-Personalized nutrition tips",Trustworthy,No,Too expensive,1,
19,Female,Abu Dhabi,4800.0,Homemaker,5,"Yoga,None",5,Weight control,Pharmacy,500 ml,Tetra Pak,Vanilla,4,3,5,11.13,59.84,Yes,"1-Bundle deals,2-Loyalty points,3-Free delivery,4-Personalized nutrition tips",Sustainable,No,Unclear nutritional info,2,Use recyclable packaging
26,Female,Sharjah,5900.0,Salaried,2,"Team sports,Gym,None",0,Taste,Supermarket,1 L,PET bottle,"Tropical,Berry,Chocolate",1,5,5,13.72,0.0,Maybe,"1-Personalized nutrition tips,2-Free delivery,3-Bundle deals,4-Loyalty points","Premium,Sustainable",No,Hard to find,5,Lower the sugar content
24,Female,Dubai,2200.0,Student,1,"Gym,Team sports,Yoga",1,Weight control,"Food-delivery app,Brand website",500 ml,Tetra Pak,Unflavored,4,4,7,11.84,10.63,Yes,"1-Loyalty points,2-Free delivery,3-Bundle deals,4-Personalized nutrition tips","Innovative,Affordable,Fun",Yes,Unclear nutritional info,3,Provide protein-rich options
62,Female,Al Ain,15200.0,Salaried,2,Gym,1,Muscle recovery,"Pharmacy,Brand website,Supermarket",500 ml,Recyclable can,"Vanilla,Berry,Chocolate",5,3,10,17.43,14.96,Maybe,"1-Loyalty points,2-Free delivery,3-Bundle deals,4-Personalized nutrition tips",Fun,Yes,Packaging not eco-friendly,1,Use recyclable packaging
52,Non-binary,Abu Dhabi,14100.0,Retired,5,Running,11,Muscle recovery,"Supermarket,Brand website,Food-delivery app",250 ml,PET bottle,"Berry,Tropical,Coffee",2,4,1,9.2,88.5,No,"1-Personalized nutrition tips,2-Loyalty points,3-Bundle deals,4-Free delivery",Fun,Yes,Too expensive,2,Introduce more flavors
39,Male,Dubai,8200.0,Salaried,1,"Gym,None,Running",1,"Weight control,Muscle recovery","Food-delivery app,Pharmacy,Gym kiosk",500 ml,PET bottle,Chocolate,1,5,3,5.33,6.14,No,"1-Personalized nutrition tips,2-Loyalty points,3-Bundle deals,4-Free delivery","Fun,Sustainable,Affordable",No,Unclear nutritional info,3,Lower the sugar content
32,Female,Dubai,10200.0,Salaried,3,"Yoga,Running",4,Muscle recovery,"Gym kiosk,Pharmacy,Food-delivery app",250 ml,Powder pouch,"Coffee,Berry,Chocolate",5,5,6,8.46,33.98,Yes,"1-Free delivery,2-Personalized nutrition tips,3-Bundle deals,4-Loyalty points","Affordable,Innovative,Trustworthy",Yes,Too much sugar,4,Provide protein-rich options
19,Female,Abu Dhabi,5100.0,Retired,3,"Running,None",2,"Muscle recovery,Weight control",Supermarket,500 ml,PET bottle,Berry,2,4,6,12.12,27.48,Maybe,"1-Personalized nutrition tips,2-Loyalty points,3-Free delivery,4-Bundle deals","Trustworthy,Affordable,Premium",Yes,Limited flavors,3,Offer subscription discounts
64,Male,Dubai,4500.0,Salaried,4,"Running,Gym,None",3,"Taste,Convenience",Pharmacy,500 ml,Powder pouch,"Chocolate,Berry",5,1,6,12.4,32.12,Maybe,"1-Bundle deals,2-Loyalty points,3-Free delivery,4-Personalized nutrition tips","Affordable,Premium,Innovative",No,Packaging not eco-friendly,4,
